No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	20Ω	R1	R0603	20Ω	GR0603F57K6T5G00	GiantOhm(鼎声微电)		LCSC
2	1	DHT22	U1	SENSOR-TH_HAIGU_DHT22		DHT22	HAIGU(广州海谷)	C2880291	LCSC
